🕘️更新时间,#genre#
2025-12-22 10:02:03

📺全部频道,#genre#
CCTV-16,http://106.59.2.119:55555/rtp/239.200.200.193:8776
CCTV-16,http://175.8.182.37:7878/udp/239.76.253.230:9000
CCTV-16,http://106.59.2.119:55555/rtp/239.200.200.194:8780
CCTV-16,http://175.8.182.37:7878/udp/239.76.254.200:9000
CCTV-16,http://175.8.182.37:7878/udp/239.76.246.98:1234
CCTV-16,http://175.8.182.37:7878/udp/239.76.246.230:1234
CCTV-16,http://58.46.71.35:8188/udp/239.76.254.200:9000
CCTV-16,http://58.46.71.35:8188/udp/239.76.246.98:1234
CCTV-16,http://58.46.71.35:8188/udp/239.76.246.230:1234
CCTV-16,https://hls-gateway.vpstv.net/streams/709089.m3u8
CCTV-17,http://yp.qqqtv.top/1/api.php?id=CCTV-17HD&auth=666858
CCTV-17,http://223.167.230.5:4022/rtp/239.45.3.52:5140
CCTV-17,http://121.29.141.118:4022/rtp/239.253.93.150:6318
CCTV-17,http://111.162.207.175:8686/rtp/225.1.2.52:5002
CCTV-17,http://114.254.38.27:18888/rtp/239.3.1.151:8144
CCTV-17,http://171.113.210.161:4022/rtp/239.69.1.152:10548
CCTV-17,http://144.255.32.94:8288/udp/239.21.1.186:5002
CCTV-17,http://121.235.95.126:8199/rtp/239.49.8.52:9810
CCTV-17,http://121.235.95.126:8199/rtp/239.49.8.132:6000
CCTV-17,http://123.191.26.168:1111/rtp/232.0.0.230:1234
CCTV-17,http://115.171.80.250:1688/rtp/225.1.8.17:8144
CCTV-17,http://114.100.195.238:4022/rtp/238.1.78.178:7296
CCTV-17,http://27.191.202.231:19999/rtp/239.254.201.120:8144
CCTV-17,http://116.235.57.19:4022/rtp/239.45.3.52:5140
CCTV-17,http://175.8.182.37:7878/udp/239.76.245.238:1234
CCTV-17,http://106.118.20.104:8188/rtp/239.254.201.120:8144
CCTV-17,http://222.82.203.33:8188/udp/238.125.5.74:5140
CCTV-17,http://106.120.13.232:4022/rtp/225.1.8.17:8144
CCTV-17,http://171.104.106.97:50112/udp/239.81.0.228:4056
CCTV-17,http://106.59.2.119:55555/rtp/239.200.201.128:8504
安徽卫视,http://satellitepull.cnr.cn/live/wxahws/playlist.m3u8
安徽卫视,http://111.162.207.175:8686/rtp/225.1.1.127:5002
安徽卫视,http://121.29.141.118:4022/rtp/239.253.92.209:6566
安徽卫视,http://114.254.38.27:18888/rtp/239.3.1.211:8064
安徽卫视,http://171.113.210.161:4022/rtp/239.69.1.70:10060
安徽卫视,http://175.8.182.37:7878/udp/239.76.245.196:1234
安徽卫视,http://121.235.95.126:8199/rtp/239.49.8.204:6000
安徽卫视,http://27.191.202.231:19999/rtp/239.254.200.163:6000
安徽卫视,http://115.171.80.250:1688/udp/225.1.8.52:8064
安徽卫视,http://175.8.182.37:7878/udp/239.76.252.196:9000
安徽卫视,http://114.100.195.238:4022/rtp/238.1.79.27:4328
安徽卫视,http://106.118.20.104:8188/rtp/239.254.200.163:6000
安徽卫视,http://106.83.116.40:8188/rtp/235.254.198.65:1536
安徽卫视,http://222.82.203.33:8188/udp/238.125.5.9:5140
安徽卫视,http://116.235.57.19:4022/rtp/239.45.1.120:5140
安徽卫视,http://106.120.13.232:4022/udp/225.1.8.52:8064
安徽卫视,http://171.104.106.97:50112/udp/239.81.0.211:4056
安徽卫视,http://106.59.2.119:55555/udp/239.200.200.129:8720
安徽卫视,http://144.255.31.207:6688/udp/239.21.1.159:5002
安徽卫视,http://183.236.43.98:4013/udp/239.77.1.92:5146
北京卫视,http://satellitepull.cnr.cn/live/wxbtv/playlist.m3u8
北京卫视,http://121.29.141.118:4022/rtp/239.253.92.87:8014
